Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,614.5,614.5,588.75,593.6500244140625,557.2689208984375,65788
2019-01-02,592.5999755859375,599.0,588.0999755859375,590.7999877929688,554.593505859375,24982
2019-01-03,590.0999755859375,600.0,582.0,588.7000122070312,552.622314453125,19715
2019-01-04,592.2999877929688,592.9000244140625,579.8499755859375,585.6500244140625,549.7592163085938,25048
2019-01-07,585.0,592.0,573.0,575.7999877929688,540.5127563476562,32710
2019-01-08,583.5,583.5,570.0,572.6500244140625,537.555908203125,33326
2019-01-09,573.0,579.7999877929688,566.3499755859375,568.8499755859375,533.9887084960938,21318
2019-01-10,568.8499755859375,571.8499755859375,561.2999877929688,564.0999755859375,529.5298461914062,18146
2019-01-11,562.8499755859375,567.7999877929688,555.7999877929688,559.1500244140625,524.8831787109375,16399
2019-01-14,560.0,560.0499877929688,544.2000122070312,545.4000244140625,511.9757995605469,19115
2019-01-15,549.9000244140625,584.4500122070312,547.3499755859375,575.25,539.9965209960938,108841
2019-01-16,570.0,583.0,561.6500244140625,565.8499755859375,531.172607421875,51124
2019-01-17,564.0,566.8499755859375,552.7999877929688,556.25,522.1608276367188,23332
2019-01-18,559.5999755859375,561.0,552.9000244140625,555.0,520.9874877929688,12511
2019-01-21,555.2999877929688,559.5999755859375,547.9500122070312,549.7999877929688,516.1061401367188,14874
2019-01-22,547.5499877929688,549.75,527.2999877929688,532.4000244140625,499.7724609375,26752
2019-01-23,533.0,546.5999755859375,525.9500122070312,531.1500244140625,498.5990905761719,48421
2019-01-24,531.7000122070312,541.9500122070312,515.2000122070312,523.2999877929688,491.2301940917969,31382
2019-01-25,529.7999877929688,529.7999877929688,497.04998779296875,504.3999938964844,473.4884948730469,58672
2019-01-28,504.3999938964844,508.8500061035156,488.25,497.3500061035156,466.8705139160156,30443
2019-01-29,497.3999938964844,497.3999938964844,485.1000061035156,490.20001220703125,460.15875244140625,25444
2019-01-30,487.20001220703125,502.0,485.1499938964844,489.8999938964844,459.8771057128906,60370
2019-01-31,487.0,493.8999938964844,483.95001220703125,486.1000061035156,456.3099670410156,61407
2019-02-01,489.1000061035156,507.70001220703125,483.0,487.04998779296875,457.2017517089844,36078
2019-02-04,490.0,494.8999938964844,475.04998779296875,477.6000061035156,448.33087158203125,35597
2019-02-05,477.6000061035156,482.20001220703125,439.79998779296875,447.0,419.6061706542969,129812
2019-02-06,459.6000061035156,459.6000061035156,446.29998779296875,454.70001220703125,426.8342590332031,89560
2019-02-07,451.0,481.0,451.0,478.95001220703125,449.5981140136719,47226
2019-02-08,481.0,491.0,468.0,471.04998779296875,442.1822814941406,36487
2019-02-11,473.04998779296875,478.0,458.1000061035156,473.6499938964844,444.6228942871094,18460
2019-02-12,473.8500061035156,473.8500061035156,453.0,455.54998779296875,427.6321716308594,28353
2019-02-14,452.0,460.0,448.0,455.1499938964844,427.25665283203125,22720
2019-02-15,456.6499938964844,456.6499938964844,450.0,454.70001220703125,426.8342590332031,18524
2019-02-18,452.0,456.5,440.95001220703125,445.1499938964844,417.8695068359375,28224
2019-02-19,442.54998779296875,454.6499938964844,442.54998779296875,446.29998779296875,418.94903564453125,19138
2019-02-20,446.04998779296875,460.0,446.04998779296875,459.3999938964844,431.2462158203125,34413
2019-02-21,458.0,462.0,448.0,451.75,424.0650329589844,31748
2019-02-22,450.20001220703125,463.8999938964844,450.20001220703125,460.1499938964844,431.9502868652344,47666
2019-02-25,460.0,476.5,457.5,467.04998779296875,438.4273986816406,131386
2019-02-26,464.1000061035156,470.0,457.0,461.3999938964844,433.1236572265625,87403
2019-02-27,459.0,481.75,458.6499938964844,463.29998779296875,434.9071960449219,184343
2019-02-28,468.0,473.0,462.5,464.45001220703125,435.98675537109375,30710
2019-03-01,466.1000061035156,509.5,466.1000061035156,505.0,474.05169677734375,253621
2019-03-05,505.29998779296875,539.9500122070312,505.29998779296875,536.0999755859375,503.2457580566406,373641
2019-03-06,542.6500244140625,561.0,523.0,550.4000244140625,516.66943359375,151580
2019-03-07,549.8499755859375,559.0,540.0,546.2000122070312,512.7268676757812,82180
2019-03-08,546.0,581.0,526.0,565.0999755859375,530.4685668945312,195001
2019-03-11,500.0,538.0,500.0,531.4000244140625,498.8337707519531,769500
2019-03-12,535.4000244140625,549.0,532.0,542.0999755859375,508.87811279296875,229026
2019-03-13,545.5999755859375,549.8499755859375,539.0,540.6500244140625,507.5169677734375,181932
2019-03-14,540.0,545.0,532.4000244140625,534.9000244140625,502.1193542480469,41823
2019-03-15,535.0499877929688,547.1500244140625,531.0,537.8499755859375,504.8885498046875,62067
2019-03-18,540.0,540.0,527.25,531.5999755859375,499.02154541015625,47508
2019-03-19,531.5999755859375,535.1500244140625,529.0499877929688,532.5499877929688,499.913330078125,46725
2019-03-20,532.5499877929688,539.0,524.0,525.9000244140625,493.6708679199219,49016
2019-03-22,529.0,534.0999755859375,507.45001220703125,511.6000061035156,480.24725341796875,56543
2019-03-25,508.0,510.54998779296875,501.1000061035156,505.29998779296875,474.33331298828125,27448
2019-03-26,505.5,522.0,505.0,514.75,483.20416259765625,46047
