Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,572.9500122070312,573.0,570.5,572.1500244140625,568.3905639648438,180116
2019-01-02,571.9500122070312,574.9500122070312,570.5,572.4500122070312,568.6885375976562,337617
2019-01-03,572.7999877929688,578.3499755859375,568.0,574.5499877929688,570.7747192382812,371054
2019-01-04,574.5499877929688,579.1500244140625,570.1500244140625,574.4500122070312,570.6754150390625,176435
2019-01-07,574.75,592.8499755859375,570.5,576.2999877929688,572.5132446289062,473587
2019-01-08,571.5999755859375,574.2999877929688,569.5,571.25,567.4963989257812,179381
2019-01-09,571.0,572.5999755859375,568.0,570.9000244140625,567.1488037109375,501308
2019-01-10,571.5,575.4500122070312,567.0,569.4000244140625,565.6585693359375,186261
2019-01-11,569.4000244140625,571.9500122070312,567.1500244140625,569.9500122070312,566.2049560546875,129557
2019-01-14,570.5,575.0,569.0,573.2999877929688,569.532958984375,141536
2019-01-15,574.5,590.0,567.5,578.0,574.2020874023438,512372
2019-01-16,578.5,593.9000244140625,574.5,590.5,586.619873046875,265519
2019-01-17,593.0,625.0,589.75,593.5999755859375,589.6995239257812,1081041
2019-01-18,590.9000244140625,593.9000244140625,577.0,580.1500244140625,576.3379516601562,170184
2019-01-21,580.7999877929688,595.0499877929688,576.3499755859375,580.1500244140625,576.3379516601562,209040
2019-01-22,583.5,589.8499755859375,575.5,584.25,580.4110107421875,93508
2019-01-23,584.0,609.0,578.2000122070312,582.3499755859375,578.5234985351562,394733
2019-01-24,582.5499877929688,586.25,570.5,574.0,570.2283325195312,166006
2019-01-25,574.0999755859375,603.0,572.0499877929688,584.5499877929688,580.708984375,274953
2019-01-28,583.5,596.3499755859375,575.1500244140625,584.9500122070312,581.1063842773438,118476
2019-01-29,587.5,609.0,577.0,598.5999755859375,594.6666870117188,136141
2019-01-30,603.0,623.4000244140625,590.0999755859375,616.4000244140625,612.3496704101562,146134
2019-01-31,619.7000122070312,624.4000244140625,598.5,607.0999755859375,603.1109008789062,206452
2019-02-01,610.7999877929688,622.0999755859375,608.2000122070312,618.5999755859375,614.5352783203125,243162
2019-02-04,616.7000122070312,616.7000122070312,587.5,597.7000122070312,593.7725830078125,487694
2019-02-05,591.5,607.7000122070312,570.5,575.1500244140625,571.370849609375,562444
2019-02-06,574.7999877929688,591.0,568.5499877929688,574.0499877929688,570.2780151367188,467269
2019-02-07,572.5,584.8499755859375,571.5,575.5499877929688,571.7681274414062,492981
2019-02-08,575.0,583.4000244140625,568.0499877929688,570.2000122070312,566.453369140625,626594
2019-02-11,570.5,578.7000122070312,568.25,569.5,565.7579345703125,702527
2019-02-12,571.5,574.8499755859375,567.5499877929688,569.75,566.0062255859375,628304
2019-02-14,570.0,574.1500244140625,557.2000122070312,560.7000122070312,557.0157470703125,280272
2019-02-15,561.5,574.0,558.0,567.5,563.7710571289062,196990
2019-02-18,571.0,571.0,556.2999877929688,559.5499877929688,555.873291015625,219829
2019-02-19,559.5,564.5,555.0999755859375,557.9500122070312,554.2838134765625,164825
2019-02-20,559.0499877929688,591.2000122070312,559.0499877929688,565.5,561.7841796875,794817
2019-02-21,567.9500122070312,574.7999877929688,555.5,560.0999755859375,556.4196166992188,549899
2019-02-22,562.0,574.0,561.7999877929688,564.75,561.0391845703125,285324
