Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,935.0,935.0,855.0,855.0,844.4103393554688,60559
2019-01-02,815.0,815.0,815.0,815.0,804.9057006835938,4380
2019-01-03,775.0,845.0,775.0,775.0,765.4011840820312,114741
2019-01-04,775.0,810.0,755.0,810.0,799.9677124023438,55801
2019-01-07,840.0,850.0,825.0,850.0,839.4722290039062,31902
2019-01-08,810.0,840.0,810.0,815.0,804.9057006835938,9154
2019-01-09,785.0,840.0,775.0,825.0,814.7819213867188,9513
2019-01-10,830.0,840.0,790.0,815.0,804.9057006835938,7137
2019-01-11,820.0,825.0,795.0,800.0,790.0914916992188,5617
2019-01-14,840.0,840.0,800.0,810.0,799.9677124023438,7196
2019-01-15,810.0,850.0,785.0,840.0,829.5960693359375,8892
2019-01-16,845.0,850.0,805.0,810.0,799.9677124023438,6261
2019-01-17,810.0,810.0,780.0,790.0,780.2153930664062,8139
2019-01-18,790.0,800.0,755.0,760.0,750.5869140625,8309
2019-01-21,770.0,775.0,725.0,725.0,716.0204467773438,6136
2019-01-22,700.0,715.0,690.0,695.0,686.3920288085938,8414
2019-01-23,710.0,725.0,695.0,715.0,706.1443481445312,4083
2019-01-24,730.0,730.0,690.0,700.0,691.330078125,4724
2019-01-25,715.0,735.0,690.0,735.0,725.8965454101562,8174
2019-01-28,755.0,755.0,700.0,710.0,701.2062377929688,7200
2019-01-29,720.0,725.0,685.0,690.0,681.4539184570312,3523
2019-01-30,680.0,700.0,680.0,685.0,676.515869140625,4465
2019-01-31,685.0,705.0,670.0,690.0,681.4539184570312,3921
2019-02-01,720.0,720.0,710.0,720.0,711.0823364257812,5013
2019-02-04,755.0,755.0,685.0,690.0,681.4539184570312,9230
2019-02-05,680.0,700.0,660.0,670.0,661.70166015625,6504
2019-02-06,670.0,670.0,640.0,645.0,637.0113525390625,7459
2019-02-07,640.0,650.0,615.0,645.0,637.0113525390625,7052
2019-02-08,625.0,670.0,615.0,615.0,607.3828735351562,5814
2019-02-11,600.0,605.0,585.0,585.0,577.7544555664062,6586
2019-02-12,565.0,610.0,560.0,580.0,572.8163452148438,7021
2019-02-14,610.0,635.0,610.0,620.0,612.3208618164062,6011
2019-02-15,635.0,650.0,625.0,640.0,632.0731811523438,5850
2019-02-18,640.0,650.0,610.0,610.0,602.4447631835938,4389
2019-02-19,610.0,610.0,580.0,585.0,577.7544555664062,10348
2019-02-20,590.0,600.0,570.0,585.0,577.7544555664062,5458
2019-02-21,575.0,595.0,575.0,585.0,577.7544555664062,4748
2019-02-22,595.0,610.0,580.0,610.0,602.4447631835938,5996
2019-02-25,620.0,620.0,590.0,600.0,592.5686645507812,3814
2019-02-26,600.0,600.0,570.0,585.0,577.7544555664062,7762
2019-02-27,595.0,600.0,565.0,575.0,567.8782348632812,5866
2019-02-28,585.0,600.0,570.0,595.0,587.6305541992188,4418
2019-03-01,580.0,600.0,580.0,590.0,582.6925048828125,5698
2019-03-05,600.0,610.0,580.0,610.0,602.4447631835938,5140
2019-03-06,630.0,640.0,600.0,630.0,622.1970825195312,8716
2019-03-07,640.0,660.0,630.0,660.0,651.8255004882812,7879
2019-03-08,680.0,690.0,660.0,690.0,681.4539184570312,7776
2019-03-11,700.0,720.0,660.0,705.0,696.2681884765625,18994
2019-03-12,715.0,740.0,710.0,730.0,720.9585571289062,16895
2019-03-13,765.0,765.0,740.0,760.0,750.5869140625,27813
2019-03-14,795.0,795.0,785.0,790.0,780.2153930664062,41954
2019-03-15,820.0,820.0,755.0,755.0,745.6488647460938,39641
2019-03-18,765.0,780.0,720.0,725.0,716.0204467773438,16066
2019-03-19,725.0,760.0,690.0,760.0,750.5869140625,36942
2019-03-20,790.0,790.0,725.0,775.0,765.4011840820312,41608
2019-03-22,785.0,785.0,740.0,740.0,730.8346557617188,21896
2019-03-25,740.0,740.0,705.0,705.0,696.2681884765625,8001
2019-03-26,670.0,690.0,670.0,670.0,661.70166015625,15106
2019-03-27,660.0,690.0,640.0,640.0,632.0731811523438,31432
2019-03-28,640.0,655.0,615.0,640.0,632.0731811523438,29470
2019-04-01,660.0,690.0,630.0,680.0,671.5778198242188,11721
2019-04-02,700.0,710.0,650.0,705.0,696.2681884765625,38952
2019-04-03,710.0,725.0,670.0,670.0,661.70166015625,30999
2019-04-04,650.0,665.0,640.0,640.0,632.0731811523438,21324
2019-04-05,620.0,665.0,620.0,655.0,646.8873901367188,18491
2019-04-08,655.0,685.0,635.0,660.0,651.8255004882812,15515
2019-04-09,665.0,675.0,640.0,645.0,637.0113525390625,6712
2019-04-10,645.0,655.0,635.0,640.0,632.0731811523438,6798
2019-04-11,670.0,700.0,630.0,695.0,686.3920288085938,190108
2019-04-12,745.0,760.0,675.0,725.0,716.0204467773438,230800
2019-04-15,750.0,760.0,720.0,730.0,720.9585571289062,40293
2019-04-16,740.0,740.0,710.0,715.0,706.1443481445312,32096
2019-04-18,710.0,715.0,675.0,700.0,691.330078125,23373
2019-04-22,705.0,720.0,700.0,710.0,701.2062377929688,22747
2019-04-23,720.0,720.0,690.0,695.0,686.3920288085938,14894
2019-04-24,695.0,715.0,685.0,700.0,691.330078125,15114
2019-04-25,710.0,770.0,660.0,685.0,676.515869140625,173554
2019-04-26,695.0,750.0,680.0,720.0,711.0823364257812,122134
2019-04-30,770.0,790.0,700.0,745.0,735.7727661132812,251200
2019-05-02,815.0,815.0,815.0,815.0,804.9057006835938,29357
2019-05-03,895.0,895.0,815.0,880.0,869.1007080078125,137909
2019-05-06,910.0,910.0,840.0,840.0,829.5960693359375,185780
2019-05-07,825.0,825.0,800.0,800.0,790.0914916992188,55638
2019-05-08,760.0,760.0,760.0,760.0,750.5869140625,4711
2019-05-09,725.0,725.0,725.0,725.0,716.0204467773438,8105
